id,owner_name,owner_id,contact_name,mob,owner_contact_email,
1,Accuracy Shipping Pvt. Ltd,1,Accuracy Shipping Pvt. Ltd,9888888888,account.tpt@aslindia.net,
146,Agarwal Packers & Movers Ltd,146,Agarwal Packers & Movers Ltd,7007558846,CONTROLROOM@AGARWALPACKERS.COM,
23001,G V Gandhi,22955,G V Gandhi,9490306189,srals1199@gmail.com,
23002,Parasmani Road Lines Pvt. Ltd,8829,Parasmani Road Lines Pvt. Ltd,7014566748,raishprpl@gmail.com,
23003,Parasmani Road Lines Pvt. Ltd,8829,Parasmani Road Lines Pvt. Ltd,7014566748,raishprpl@gmail.com,
23004,Vraj Cement Carrier LLP,18925,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
23005,Vraj Cement Carrier LLP,18925,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
23006,Vraj Cement Carrier LLP,22956,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
23007,Vraj Cement Carrier LLP,22957,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
23008,Vraj Cement Carrier LLP,22958,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
23010,NULL,0,VIVEK,9094280960,VIVEK.K2@ASHOKLEYLAND.COM,
23012,LAKHAMI MOTOR PVT LTD,22961,ARVIND KORI,8004179920,N/A,
23013,Accuracy Shipping Pvt. Ltd,1,Sri Venkatramana Transports,9688618000,svt.kumaresant@gmail.com,
372,Agrawal Roadlines Pvt. Ltd,372,jagrat singh,9909969680,murrliiyer@gmail.com,
675,Ahmedabad Bengal Roadways Pvt. Ltd,675,Ahmedabad Bengal Roadways Pvt. Ltd,1234567899,INFO@ABR.CO.IN,
1865,Aravali cargo movers Private Limited,1865,Aravali cargo movers Private Limited,7340623052,aravalicargo@gmail.com,
2188,Choudhary Mover Pvt. Ltd,2188,Choudhary Mover Pvt. Ltd,9958924600,mukesh1068@yahoo.com,
23014,NULL,0,RAKSHMAN SUADAGAR,8766865187,0,
22971,Interglobe Aviation Ltd (INDIGO),22453,maninder.singh2@goindigo.in,1234567899,"maninder.singh2@goindigo.in, v.anup@goindigo.in",
22972,Jainex Pariwahan Pvt. Ltd,3992,aadesh@jainexgroup.in,1234567899,maintenance@jainexgroup.in,
2399,Core Logistic  Company,2399,Core Logistic  Company,1234567899,"clc.namakkal10@gmail.com, clc.rameshbapu@gmail.com, clc.hoskote@gmail.com",
2840,Express Roadways Pvt. Ltd,2840,Express Roadways Pvt. Ltd,7095159888,rajeshgupta@expressroadways.co.in,
22991,Megha Engineering And Infrastructures Ltd,5930,MEGHA ENGINEERING AND INFRASTRUCTURES LTD,1234567899,kbollareddy@meilgroup.com,
22992,My Home Constructions Pvt. Ltd,6613,MY HOME CONSTRUCTIONS PVT. LTD,1234567899,"rajasekhar.s@myhomeconstructions.com, mutyalu.k@myhomeconstructions.com",
22993,Navayuga Engineering Company Ltd,6999,Navayuga Engineering Company Ltd,1234578999,"madhavchinta@navayuga.com, radha09us@necltd.com",
22994,Omkar Translogistics Pvt. Ltd,8088,OMKAR TRANSLOGISTICS PVT. LTD,1234567899,abhishek@omkarcarriers.com,
22995,Parthasarathy Transports Pvt. Ltd,9197,PARTHASARATHY TRANSPORTS PVT. LTD,9666683919,Sairamanreddyb@gmail.com,
22996,Thirumala Cabs (Orange ),16691,Thirumala Cabs (Orange ),1234567899,"gkrishnareddy53@gmail.com, naveen@orangetravels.in",
22997,Heeralal Sukhlal Transport Company,3715,Heeralal Sukhlal Transport Company,1234567899,heeralalsukhlal@rediffmail.com,
22998,New Morning Star Travels,7759,New Morning Star Travels,1234567899,"ashok@mstbus.in, satish@mstbus.in",
4660,Param Jeeth Singh,4660,Khaitan Logistics Pvt. Ltd,9116160810,pramjeet.singh@khaitanmail.com,
