"id","vehicle_id","owner_name","owner_mob","owner_landline","owner_cat","owner_company","alse_mail","asm_mail","flag","created_at","updated_at","rsm_mail","reg"
"1",NULL,"Accuracy Shipping Pvt. Ltd","9999999999",,,"Accuracy Shipping Pvt. Ltd","Ajit.kumar1@ashokleyland.com","Abhinandan.Bhasme@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:04:50","Abhinandan.Bhasme@ashokleyland.com","GJ12BV4557"
"146",NULL,"Agarwal Packers & Movers Ltd","7007558846",,,"Agarwal Packers & Movers Ltd","Vijay.Prakash@ashokleyland.com","Krishnakumar.M@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:35:32","Ashok.HS@ashokleyland.com;Krishnakumar.M@ashokleyland.com","NL01AD4726"
"372",NULL,"Agrawal Roadlines Pvt. Ltd","9909969680",,,"Agrawal Roadlines Pvt. Ltd","Abu.Umar@ashokleyland.com","Avi.Mathur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:05:03","Abhinandan.Bhasme@ashokleyland.com","GJ12Z0619"
"675",NULL,"Ahmedabad Bengal Roadways Pvt. Ltd",NULL,NULL,"Select Category","Ahmedabad Bengal Roadways Pvt. Ltd","Rachhpal.Singh@ashokleyland.com","Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:38:20","Tapan.Sarda@ashokleyland.com","HR55F6377"
"1291","1291","APCO Infratech Pvt. Ltd",NULL,NULL,NULL,"APCO Infratech Pvt. Ltd","rachan.singh@ashokleyland.com","Kuldeep.Sagar@ashokleyland.com, Bijan.Debnath@ashokleyland.com","1","2021-04-01 11:03:08",NULL,"Kuldeep.Sagar@ashokleyland.com;Bijan.Debnath@ashokleyland.com","UP32CZ4899"
"1865",NULL,"Aravali cargo movers Private Limited","7340623052",,,"Aravali cargo movers Private Limited","DilzanArif.MD@ashokleyland.com","Imran.khan@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:55:57","Imran.khan@ashokleyland.com","RJ14GC5072"
"2188",NULL,"Choudhary Mover Pvt. Ltd","9958924600","9534309530","Select Category","Choudhary Mover Pvt. Ltd","Prashant.singh@ashokleyland.com","Rachhpal.Singh@ashokleyland.com, Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:38:54","Rachhpal.Singh@ashokleyland.com;Tapan.Sarda@ashokleyland.com","HR55K5900"
"2399",NULL,"Core Logistic  Company","1234567899",NULL,"Select Category","Core Logistic  Company","Gopinath.V2@ashokleyland.com","Suresh.J@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:27:46","#N/A","KA218410"
"2444",NULL,"Delhi Gujrat Fleet Carrier Pvt. Ltd",,,,"Delhi Gujrat Fleet Carrier Pvt. Ltd","Rachhpal.Singh@ashokleyland.com","Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:39:27","Tapan.Sarda@ashokleyland.com","HR55J0287"
"2840",NULL,"Express Roadways Pvt. Ltd","7095159888",,,"Express Roadways Pvt. Ltd","Kiran.R@ashokleyland.com","Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:06:46","Timmappa.Bennur@ashokleyland.com","HR55N3868"
"3380",NULL,"H.G.Infra Engineering Ltd",NULL,NULL,"Select Category","H.G.Infra Engineering Ltd","Sagarbabu.S@ashokleyland.com","Imran.khan@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:56:15","Imran.khan@ashokleyland.com","UP14GT5642"
"3534",NULL,"Heavy Transport Corporation",NULL,NULL,"Select Category","Heavy Transport Corporation","Ramkrishna.C@ashokleyland.com","Amit.Chauhan@ashokleyland.com, Abhinav.Prateek@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:04:11","Amit.Chauhan@ashokleyland.com;Abhinav.Prateek@ashokleyland.com","CG07BL5399"
"3715",NULL,"Heeralal Sukhlal Transport Company",NULL,NULL,"Select Category","Heeralal Sukhlal Transport Company","chetan.nagora@ashokleyland.com","Neetendra.Misra@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:20:08","Neetendra.Misra@ashokleyland.com","RJ27GA4285"
"3992",NULL,"Jainex Pariwahan Pvt. Ltd","9643986000",,,"Jainex Pariwahan Pvt. Ltd","Prashant.singh@ashokleyland.com","Tapan.sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:51:44","Rachhpal.Singh@ashokleyland.com;Tapan.Sarda@ashokleyland.com","NL01G1455"
"4131",NULL,"Jothi LPG Transport",NULL,NULL,"Select Category","Jothi LPG Transport","Balamurugan.G@ashokleyland.com","Ashish.David@ashokleyland.com, Karthik.M.B@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:05:50","Ashish.David@ashokleyland.com;Karthik.M.B@ashokleyland.com","TN30M9732"
"4396",NULL,"KFT Logistics",NULL,NULL,"Select Category","KFT Logistics","Chakka.Phanikumar@ashokleyland.com","Kiran.R@ashokleyland.com, Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:07:03","Kiran.R@ashokleyland.com;Timmappa.Bennur@ashokleyland.com","AP15Y7812"
"4660",NULL,"Param Jeeth Singh","9116160810","8805914450",,"Khaitan Logistics Pvt. Ltd","Jitendra.yadav@ashokleyland.com","Imran.khan@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:56:35","Imran.khan@ashokleyland.com","RJ14GH1815"
"22961",NULL,"LAKHAMI MOTOR PVT LTD","9099072080",,,"LAKHAMI MOTOR PVT LTD","AMIT.KUMAR4@ASHOKALEYLAND.COM","PARKASH.AN@ASHOKALEYLAND.COM","1","2021-05-07 17:33:46",NULL,NULL,NULL
"5655",NULL,"M R Shah Logistics Pvt. Ltd",NULL,NULL,"Select Category","M R Shah Logistics Pvt. Ltd","Venkatesan.K3@ashokleyland.com","Abhinandan.Bhasme@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:05:16","Abhinandan.Bhasme@ashokleyland.com","MP09HF9324"
