id,ownerId,vehicle_model,reg_number,chassis_number,engine_number,vehicle_segment,purchase_date,add_blue_use,vehicle_type,is_vehicle_movable,engine_emmission_type
1,1,U-4019 TT G91 10R20 E4,GJ12BV4557,MB1TRKHD0HPBZ2055,HBPZ124199,Long Haulage,29-06-2017 00:00,No,NULL,NULL,Non BS6
2,1,U-4019 TT G91 10R20 E4,GJ12BV4691,MB1TRKHD0HPBZ2069,HBPZ124554,Long Haulage,29-06-2017 00:00,No,NULL,NULL,Non BS6
3,1,U-4019 TT G91 10R20 E4,GJ12BV4525,MB1TRKHD0HPBZ2170,HBPZ124611,Long Haulage,30-06-2017 00:00,No,NULL,NULL,Non BS6
4,1,U-4019 TT G91 10R20 E4,GJ12BV4806,MB1TRKHD0HRBT5195,HBHZ418256,Long Haulage,29-06-2017 00:00,No,NULL,NULL,Non BS6
5,1,U-4019 TT G91 10R20 E4,GJ12BV5383,MB1TRKHD0HRBT5519,HBHZ418624,Long Haulage,29-06-2017 00:00,No,NULL,NULL,Non BS6
6,1,U-4019 TT G91 10R20 E4,GJ12BV4805,MB1TRKHD0HRBT5522,HBHZ418265,test,29-06-2017 00:00,No,NULL,NULL,Non BS6
7,1,U-4019 TT G91 10R20 E4,GJ12BW2991,MB1TRKHD0JPCD9263,JCPZ127630,Long Haulage,20-08-2018 00:00,No,NULL,NULL,Non BS6
8,1,U-4019 TT G91 10R20 E4,GJ12BW2860,MB1TRKHD0JPCD9358,JCPZ128488,Long Haulage,20-08-2018 00:00,No,NULL,NULL,Non BS6
9,1,U-4019 TT G91 10R20 E4,GJ12BX0528,MB1TRKHD0KPFJ6516,KFPZ115318,Long Haulage,28-06-2019 00:00,No,NULL,NULL,Non BS6
10,1,U-4019 TT G91 10R20 E4,GJ12BX0937,MB1TRKHD0KPFJ6886,KFPZ117525,Long Haulage,28-06-2019 00:00,No,NULL,NULL,Non BS6
11,1,U-4019 TT G91 10R20 E4,GJ12BV4574,MB1TRKHD1HPBZ1982,HBPZ123949,Long Haulage,29-06-2017 00:00,No,NULL,NULL,Non BS6
